docname,topic,proportion
Privacy_Rights_Cleaned.aws.csv:3427,003,1.0
Privacy_Rights_Cleaned.aws.csv:3462,004,1.0
Privacy_Rights_Cleaned.aws.csv:3497,000,1.0
Privacy_Rights_Cleaned.aws.csv:3532,001,0.61712
Privacy_Rights_Cleaned.aws.csv:3532,000,0.38288
Privacy_Rights_Cleaned.aws.csv:3567,003,1.0
Privacy_Rights_Cleaned.aws.csv:3602,001,1.0
Privacy_Rights_Cleaned.aws.csv:3637,004,1.0
Privacy_Rights_Cleaned.aws.csv:3672,002,1.0
Privacy_Rights_Cleaned.aws.csv:3707,000,0.531571
Privacy_Rights_Cleaned.aws.csv:3707,001,0.46843
Privacy_Rights_Cleaned.aws.csv:3742,002,0.652027
Privacy_Rights_Cleaned.aws.csv:3742,000,0.279594
Privacy_Rights_Cleaned.aws.csv:3742,003,0.06838
Privacy_Rights_Cleaned.aws.csv:3777,001,1.0
Privacy_Rights_Cleaned.aws.csv:3812,000,1.0
Privacy_Rights_Cleaned.aws.csv:3847,000,1.0
Privacy_Rights_Cleaned.aws.csv:3882,001,1.0
Privacy_Rights_Cleaned.aws.csv:3917,000,1.0
Privacy_Rights_Cleaned.aws.csv:3952,002,1.0
Privacy_Rights_Cleaned.aws.csv:3987,000,0.677735
Privacy_Rights_Cleaned.aws.csv:3987,001,0.217837
Privacy_Rights_Cleaned.aws.csv:3987,004,0.104428
Privacy_Rights_Cleaned.aws.csv:4022,001,0.76261
Privacy_Rights_Cleaned.aws.csv:4022,000,0.23739
Privacy_Rights_Cleaned.aws.csv:4057,000,0.707675
Privacy_Rights_Cleaned.aws.csv:4057,003,0.292325
Privacy_Rights_Cleaned.aws.csv:4092,000,0.664605
Privacy_Rights_Cleaned.aws.csv:4092,001,0.159017
Privacy_Rights_Cleaned.aws.csv:4092,004,0.134724
Privacy_Rights_Cleaned.aws.csv:4092,003,0.041654
Privacy_Rights_Cleaned.aws.csv:4115,000,1.0
Privacy_Rights_Cleaned.aws.csv:4150,003,1.0
Privacy_Rights_Cleaned.aws.csv:4185,000,0.61211
Privacy_Rights_Cleaned.aws.csv:4185,001,0.175859
Privacy_Rights_Cleaned.aws.csv:4185,002,0.121467
Privacy_Rights_Cleaned.aws.csv:4185,003,0.090563
Privacy_Rights_Cleaned.aws.csv:4220,004,1.0
Privacy_Rights_Cleaned.aws.csv:4255,004,1.0
Privacy_Rights_Cleaned.aws.csv:4290,003,1.0
Privacy_Rights_Cleaned.aws.csv:4325,002,0.575994
Privacy_Rights_Cleaned.aws.csv:4325,000,0.424006
Privacy_Rights_Cleaned.aws.csv:4360,001,1.0
Privacy_Rights_Cleaned.aws.csv:4395,000,0.755859
Privacy_Rights_Cleaned.aws.csv:4395,004,0.135575
Privacy_Rights_Cleaned.aws.csv:4395,001,0.108567
Privacy_Rights_Cleaned.aws.csv:4430,000,1.0
Privacy_Rights_Cleaned.aws.csv:4465,000,1.0
Privacy_Rights_Cleaned.aws.csv:4500,003,1.0
Privacy_Rights_Cleaned.aws.csv:4535,000,1.0
Privacy_Rights_Cleaned.aws.csv:4570,000,0.611551
Privacy_Rights_Cleaned.aws.csv:4570,001,0.280883
Privacy_Rights_Cleaned.aws.csv:4570,004,0.107566
Privacy_Rights_Cleaned.aws.csv:4605,000,1.0
Privacy_Rights_Cleaned.aws.csv:4640,002,1.0
Privacy_Rights_Cleaned.aws.csv:4675,004,1.0
Privacy_Rights_Cleaned.aws.csv:4710,004,1.0
Privacy_Rights_Cleaned.aws.csv:4745,003,1.0
Privacy_Rights_Cleaned.aws.csv:4780,004,1.0
Privacy_Rights_Cleaned.aws.csv:4815,001,1.0
Privacy_Rights_Cleaned.aws.csv:4850,004,1.0
Privacy_Rights_Cleaned.aws.csv:4885,004,1.0
Privacy_Rights_Cleaned.aws.csv:4920,001,1.0
Privacy_Rights_Cleaned.aws.csv:4955,000,1.0
Privacy_Rights_Cleaned.aws.csv:4990,001,1.0
Privacy_Rights_Cleaned.aws.csv:5025,001,1.0
Privacy_Rights_Cleaned.aws.csv:5060,000,1.0
Privacy_Rights_Cleaned.aws.csv:5095,000,0.795251
Privacy_Rights_Cleaned.aws.csv:5095,001,0.204749
Privacy_Rights_Cleaned.aws.csv:5130,000,0.810268
Privacy_Rights_Cleaned.aws.csv:5130,001,0.101665
Privacy_Rights_Cleaned.aws.csv:5130,003,0.044143
Privacy_Rights_Cleaned.aws.csv:5130,004,0.043924
Privacy_Rights_Cleaned.aws.csv:5165,000,1.0
Privacy_Rights_Cleaned.aws.csv:5200,000,1.0
Privacy_Rights_Cleaned.aws.csv:5235,000,1.0
Privacy_Rights_Cleaned.aws.csv:5270,000,1.0
Privacy_Rights_Cleaned.aws.csv:5305,002,0.692416
Privacy_Rights_Cleaned.aws.csv:5305,000,0.22841
Privacy_Rights_Cleaned.aws.csv:5305,003,0.079174
Privacy_Rights_Cleaned.aws.csv:5340,000,1.0
Privacy_Rights_Cleaned.aws.csv:5375,000,0.421805
Privacy_Rights_Cleaned.aws.csv:5375,001,0.417482
Privacy_Rights_Cleaned.aws.csv:5375,004,0.109029
Privacy_Rights_Cleaned.aws.csv:5375,002,0.051684
Privacy_Rights_Cleaned.aws.csv:5410,001,1.0
Privacy_Rights_Cleaned.aws.csv:5445,004,1.0
Privacy_Rights_Cleaned.aws.csv:5480,000,1.0
Privacy_Rights_Cleaned.aws.csv:5515,003,1.0
Privacy_Rights_Cleaned.aws.csv:5550,000,1.0
Privacy_Rights_Cleaned.aws.csv:5585,004,1.0
Privacy_Rights_Cleaned.aws.csv:5620,000,0.680079
Privacy_Rights_Cleaned.aws.csv:5620,001,0.146326
Privacy_Rights_Cleaned.aws.csv:5620,004,0.134806
Privacy_Rights_Cleaned.aws.csv:5620,003,0.038789
Privacy_Rights_Cleaned.aws.csv:5655,001,1.0
Privacy_Rights_Cleaned.aws.csv:5690,000,1.0
Privacy_Rights_Cleaned.aws.csv:5725,000,1.0
Privacy_Rights_Cleaned.aws.csv:5760,001,1.0
Privacy_Rights_Cleaned.aws.csv:5795,000,1.0
Privacy_Rights_Cleaned.aws.csv:5830,003,1.0
Privacy_Rights_Cleaned.aws.csv:5865,003,1.0
Privacy_Rights_Cleaned.aws.csv:5900,000,1.0
Privacy_Rights_Cleaned.aws.csv:5935,003,1.0
Privacy_Rights_Cleaned.aws.csv:5970,000,1.0
Privacy_Rights_Cleaned.aws.csv:6005,001,1.0
Privacy_Rights_Cleaned.aws.csv:6040,000,0.758526
Privacy_Rights_Cleaned.aws.csv:6040,003,0.241474
